ID,Shapefile,Month,Year,Zone,Shoreline_end,Hectares
1,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,All,both,0.94524028
2,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,All,east,0.397456034
3,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,All,west,0.547784246
4,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,Upper,east,0.118095046
5,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,Middle,east,0.135355474
6,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,Lower,east,0.144005514
7,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,Upper,west,0.084325944
8,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,Middle,west,0.122733179
9,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Dec2021_FINAL_v4,Dec,2021,Lower,west,0.340725124
10,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,All,both,2.098219896
11,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,All,east,0.901529587
12,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,All,west,1.196690308
13,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,Upper,east,0.319222136
14,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,Middle,east,0.265639856
15,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,Lower,east,0.316667595
16,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,Upper,west,0.280051848
17,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,Middle,west,0.267964001
18,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2022_FINAL,Aug,2022,Lower,west,0.64867446
19,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,All,both,2.414382227
20,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,All,east,1.130821262
21,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,All,west,1.305753526
22,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,Upper,east,0.356757158
23,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,Middle,east,0.290707617
24,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,Lower,east,0.483356488
25,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,Upper,west,0.234925119
26,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,Middle,west,0.281918054
27,THESIS_Levee_AM_Veg_Cover_Mapping_SearsPt_Aug2023_FINAL,Aug,2023,Lower,west,0.789195218
